CustomerID,Recency,Tenure,Frequency,AOV,Monetary,Predicted_CLV
12346.0,325,0,1,77183.6,77183.6,77062.35
12347.0,1,365,7,615.7142857142857,4310.0,4212.777
12348.0,74,282,4,449.31,1797.24,2202.311
12349.0,18,0,1,1757.55,1757.55,1679.8652
12350.0,309,0,1,334.4,334.4,294.72305
12352.0,35,260,8,313.255,2506.04,2221.5205
12353.0,203,0,1,89.0,89.0,87.17607
12354.0,231,0,1,1079.4,1079.4,1080.3463
12355.0,213,0,1,459.4,459.4,503.986
12356.0,22,302,3,937.1433333333333,2811.43,2960.9058
12357.0,32,0,1,6207.67,6207.67,5822.533
12358.0,1,149,2,584.03,1168.06,1060.5012
12359.0,57,274,4,1593.145,6372.58,4946.6123
12360.0,51,148,3,887.3533333333334,2662.06,2517.9104
12361.0,286,0,1,189.9,189.9,196.53816
12362.0,2,292,10,522.6229999999999,5226.23,4788.8467
12363.0,109,132,2,276.0,552.0,606.1954
12364.0,7,104,4,328.275,1313.1,1405.4918
12365.0,290,0,2,320.69,641.38,461.29163
12367.0,3,0,1,168.9,168.9,169.81544
12370.0,50,309,4,886.4225,3545.69,3896.354
12371.0,44,14,2,943.98,1887.96,1544.7103
12372.0,71,224,3,432.68,1298.04,1275.19
12373.0,310,0,1,364.6,364.6,350.75955
12374.0,24,0,1,742.9300000000001,742.9300000000001,723.7706
12375.0,10,87,2,228.75,457.5,399.59094
12377.0,314,39,2,814.06,1628.12,1633.9088
12378.0,129,0,1,4008.62,4008.62,4006.2573
12379.0,81,88,2,426.12,852.24,846.9126
12380.0,21,164,4,681.2025,2724.81,2513.017
12381.0,4,115,5,369.062,1845.31,1783.1683
12383.0,184,167,5,370.11199999999997,1850.56,1784.0819
12384.0,28,92,2,292.635,585.27,508.29733
12386.0,337,29,2,200.95,401.9,472.12863
12388.0,15,311,6,463.4433333333333,2780.66,2788.1077
12390.0,79,0,1,549.84,549.84,665.343
12391.0,21,0,1,460.89,460.89,530.14154
12393.0,71,260,4,395.65000000000003,1582.6000000000001,1636.6506
12394.0,63,153,2,636.24,1272.48,1315.252
12395.0,18,351,12,251.5525,3018.63,3169.8135
12397.0,35,99,2,1204.95,2409.9,2303.9731
12398.0,45,0,1,1635.6599999999999,1635.6599999999999,1901.8384
12399.0,118,142,4,277.1625,1108.65,1226.0892
12401.0,302,0,1,84.3,84.3,84.41284
12402.0,322,0,1,225.6,225.6,222.87526
12403.0,49,0,1,427.7,427.7,417.07455
12405.0,148,0,1,1710.39,1710.39,1758.0538
12406.0,21,161,2,1707.65,3415.3,3354.2266
12407.0,49,214,5,341.624,1708.1200000000001,1750.7659
12408.0,32,227,5,577.71,2888.55,2794.459
12409.0,78,103,3,3690.89,11072.67,10887.71
12410.0,308,0,2,346.66499999999996,693.3299999999999,575.5632
12412.0,74,94,3,408.96000000000004,1226.88,1271.6349
12413.0,66,270,3,252.70000000000002,758.1,670.32855
12414.0,216,93,3,187.47,562.41,579.91406
12415.0,23,313,21,5948.310952380953,124914.53,124883.8
12417.0,2,354,9,405.4555555555555,3649.1,3533.0615
12418.0,112,0,1,668.58,668.58,679.1321
12420.0,63,0,1,600.39,600.39,665.6764
12421.0,15,303,4,201.76,807.04,819.13464
12422.0,95,229,3,267.85333333333335,803.5600000000001,789.87695
12423.0,0,352,8,232.41375,1859.31,2006.7413
12424.0,162,0,2,880.48,1760.96,1560.9945
12425.0,77,0,1,777.2,777.2,757.677
12426.0,194,0,1,582.73,582.73,595.2857
12427.0,21,349,3,275.26666666666665,825.8,874.42633
12428.0,25,257,9,884.0511111111111,7956.46,7905.1206
12429.0,8,356,4,937.6,3750.4,3639.1396
12430.0,42,0,1,256.4,256.4,266.3915
12431.0,35,338,15,432.49666666666667,6487.45,6187.262
12432.0,42,129,5,1011.8639999999999,5059.32,4477.2495
12433.0,0,372,7,1910.8385714285716,13375.87,13532.278
12434.0,84,175,2,403.07,806.14,789.2235
12435.0,79,188,2,3914.945,7829.89,9214.273
12436.0,99,0,1,509.01,509.01,490.71243
12437.0,1,329,18,275.0783333333333,4951.41,4893.4165
12438.0,13,125,2,1453.425,2906.85,2564.0872
12441.0,366,0,1,173.55,173.55,188.70634
12442.0,2,0,1,172.06,172.06,188.70634
12444.0,20,149,5,1001.092,5005.46,4553.1562
12445.0,21,0,1,133.4,133.4,139.2574
